date,AUD_CLOSE,DKK_CLOSE,EUR_CLOSE,HKD_CLOSE,JPY_CLOSE,MXN_CLOSE,NZD_CLOSE,NOK_CLOSE,SEK_CLOSE,CHF_CLOSE,GBP_CLOSE,USD_CLOSE
2007-05-01,0.92,0.2,1.51,0.14197,0.009271,0.1,0.82,0.186,0.17,0.91,2.2199,1.1105
2007-05-02,0.91,0.2,1.51,0.14174,0.009232,0.1,0.82,0.1854,0.17,0.91,2.2055,1.1087
2007-05-03,0.91,0.2,1.5,0.141496,0.00919,0.1,0.81,0.1847,0.16,0.91,2.1999,1.1066
2007-05-04,0.91,0.2,1.51,0.141616,0.009218,0.1,0.81,0.1854,0.16,0.91,2.2075,1.1075
2007-05-05,0.91,0.2,1.51,0.141616,0.009218,0.1,0.81,0.1854,0.16,0.91,2.2075,1.1075
2007-05-06,0.91,0.2,1.51,0.141616,0.009218,0.1,0.81,0.1854,0.16,0.91,2.2075,1.1075
2007-05-07,0.91,0.2,1.5,0.140908,0.009177,0.1,0.81,0.1843,0.16,0.91,2.1957,1.1018
2007-05-08,0.92,0.2,1.5,0.141289,0.00921,0.1,0.81,0.1839,0.16,0.91,2.1976,1.1047
2007-05-09,0.92,0.2,1.5,0.141358,0.009207,0.1,0.81,0.1838,0.16,0.91,2.2038,1.1055
2007-05-10,0.92,0.2,1.5,0.142064,0.009272,0.1,0.81,0.1833,0.16,0.91,2.1997,1.1112
2007-05-11,0.92,0.2,1.5,0.142221,0.009259,0.1,0.82,0.1843,0.16,0.91,2.2041,1.1122
2007-05-12,0.92,0.2,1.5,0.142221,0.009259,0.1,0.82,0.1843,0.16,0.91,2.2041,1.1122
2007-05-13,0.92,0.2,1.5,0.142221,0.009259,0.1,0.82,0.1843,0.16,0.91,2.2041,1.1122
2007-05-14,0.92,0.2,1.5,0.141692,0.009198,0.1,0.82,0.183,0.16,0.91,2.1903,1.107
2007-05-15,0.92,0.2,1.49,0.140622,0.009137,0.1,0.81,0.1827,0.16,0.9,2.1812,1.0988
2007-05-16,0.91,0.2,1.49,0.141187,0.009139,0.1,0.81,0.1824,0.16,0.9,2.182,1.1039
2007-05-17,0.91,0.2,1.48,0.140489,0.009054,0.1,0.8,0.1814,0.16,0.89,2.1692,1.0987
2007-05-18,0.9,0.2,1.47,0.139353,0.008999,0.1,0.8,0.1803,0.16,0.89,2.1519,1.0895
2007-05-19,0.9,0.2,1.47,0.139353,0.008999,0.1,0.8,0.1803,0.16,0.89,2.1519,1.0895
2007-05-20,0.9,0.2,1.47,0.139353,0.008999,0.1,0.8,0.1803,0.16,0.89,2.1519,1.0895
2007-05-21,0.9,0.2,1.47,0.139353,0.008999,0.1,0.8,0.1803,0.16,0.89,2.1519,1.0895
2007-05-22,0.89,0.2,1.46,0.138805,0.008933,0.1,0.79,0.1796,0.16,0.88,2.145,1.086
2007-05-23,0.89,0.2,1.46,0.138309,0.008897,0.1,0.79,0.1796,0.16,0.88,2.1494,1.0821
2007-05-24,0.89,0.2,1.46,0.138661,0.008939,0.1,0.79,0.1796,0.16,0.88,2.1536,1.0847
2007-05-25,0.88,0.19,1.45,0.13798,0.008868,0.1,0.78,0.1793,0.16,0.88,2.142,1.0794
2007-05-26,0.88,0.19,1.45,0.13798,0.008868,0.1,0.78,0.1793,0.16,0.88,2.142,1.0794
2007-05-27,0.88,0.19,1.45,0.13798,0.008868,0.1,0.78,0.1793,0.16,0.88,2.142,1.0794
2007-05-28,0.89,0.19,1.45,0.138146,0.008877,0.1,0.79,0.1796,0.16,0.88,2.143,1.0803
2007-05-29,0.88,0.19,1.44,0.137274,0.008823,0.1,0.78,0.178,0.16,0.88,2.126,1.0735
2007-05-30,0.88,0.19,1.44,0.137566,0.008826,0.1,0.78,0.1769,0.15,0.88,2.1213,1.0739
2007-05-31,0.89,0.19,1.44,0.13698,0.008788,0.1,0.79,0.1773,0.15,0.87,2.1179,1.0696
2007-06-01,0.88,0.19,1.43,0.135867,0.008696,0.1,0.79,0.1761,0.15,0.86,2.1039,1.0613
2007-06-02,0.88,0.19,1.43,0.135867,0.008696,0.1,0.79,0.1761,0.15,0.86,2.1039,1.0613
2007-06-03,0.88,0.19,1.43,0.135867,0.008696,0.1,0.79,0.1761,0.15,0.86,2.1039,1.0613
2007-06-04,0.88,0.19,1.43,0.135577,0.008693,0.1,0.79,0.177,0.15,0.87,2.1077,1.0584
2007-06-05,0.89,0.19,1.44,0.136129,0.008759,0.1,0.8,0.1779,0.15,0.87,2.1179,1.063
2007-06-06,0.89,0.19,1.43,0.135429,0.008741,0.1,0.79,0.1767,0.15,0.87,2.1088,1.058
2007-06-07,0.9,0.19,1.43,0.136089,0.008791,0.1,0.8,0.1771,0.15,0.87,2.1033,1.0636
2007-06-08,0.89,0.19,1.42,0.135667,0.008709,0.1,0.81,0.1748,0.15,0.86,2.0866,1.0602
2007-06-09,0.89,0.19,1.42,0.135667,0.008709,0.1,0.81,0.1748,0.15,0.86,2.0866,1.0602
2007-06-10,0.89,0.19,1.42,0.135667,0.008709,0.1,0.81,0.1748,0.15,0.86,2.0866,1.0602
2007-06-11,0.9,0.19,1.42,0.135719,0.008714,0.1,0.8,0.1749,0.15,0.86,2.0887,1.0606
2007-06-12,0.9,0.19,1.42,0.136481,0.008763,0.1,0.8,0.1749,0.15,0.86,2.1073,1.0668
2007-06-13,0.9,0.19,1.42,0.136442,0.008688,0.1,0.8,0.1752,0.15,0.86,2.1041,1.0665
2007-06-14,0.89,0.19,1.42,0.13671,0.008693,0.1,0.8,0.1755,0.15,0.86,2.1053,1.0687
2007-06-15,0.9,0.19,1.43,0.136648,0.008652,0.1,0.81,0.177,0.15,0.86,2.1098,1.0683
2007-06-16,0.9,0.19,1.43,0.136648,0.008652,0.1,0.81,0.177,0.15,0.86,2.1098,1.0683
2007-06-17,0.9,0.19,1.43,0.136648,0.008652,0.1,0.81,0.177,0.15,0.86,2.1098,1.0683
2007-06-18,0.9,0.19,1.44,0.13708,0.008668,0.1,0.81,0.178,0.15,0.86,2.1253,1.0716
2007-06-19,0.9,0.19,1.43,0.135976,0.008619,0.1,0.81,0.1766,0.15,0.86,2.1143,1.0631
2007-06-20,0.9,0.19,1.43,0.136535,0.008633,0.1,0.81,0.1781,0.15,0.86,2.1273,1.067
2007-06-21,0.91,0.19,1.44,0.137551,0.008689,0.1,0.82,0.18,0.16,0.87,2.1413,1.0747
2007-06-22,0.9,0.19,1.44,0.136893,0.008639,0.1,0.81,0.1805,0.16,0.87,2.1377,1.0696
2007-06-23,0.9,0.19,1.44,0.136893,0.008639,0.1,0.81,0.1805,0.16,0.87,2.1377,1.0696
2007-06-24,0.9,0.19,1.44,0.136893,0.008639,0.1,0.81,0.1805,0.16,0.87,2.1377,1.0696
2007-06-25,0.91,0.19,1.44,0.137037,0.008664,0.1,0.82,0.1801,0.16,0.87,2.1387,1.0706
2007-06-26,0.91,0.19,1.44,0.136908,0.008675,0.1,0.82,0.1795,0.16,0.87,2.1384,1.0696
2007-06-27,0.9,0.19,1.44,0.136923,0.008725,0.1,0.81,0.1808,0.16,0.87,2.1396,1.0702
2007-06-28,0.9,0.19,1.42,0.135524,0.008599,0.1,0.81,0.1793,0.15,0.86,2.1204,1.0594
2007-06-29,0.9,0.19,1.44,0.136254,0.008654,0.1,0.82,0.1807,0.16,0.87,2.1395,1.0654
2007-06-30,0.9,0.19,1.44,0.136254,0.008654,0.1,0.82,0.1807,0.16,0.87,2.1395,1.0654
2007-07-01,0.9,0.19,1.44,0.136254,0.008654,0.1,0.82,0.1807,0.16,0.87,2.1395,1.0654
2007-07-02,0.9,0.19,1.44,0.136254,0.008654,0.1,0.82,0.1807,0.16,0.87,2.1395,1.0654
2007-07-03,0.91,0.19,1.44,0.135749,0.008667,0.1,0.83,0.1819,0.16,0.87,2.1392,1.0605
2007-07-04,0.91,0.19,1.44,0.135481,0.008631,0.1,0.83,0.1816,0.16,0.87,2.1345,1.0586
2007-07-05,0.9,0.19,1.44,0.135159,0.008594,0.1,0.83,0.1814,0.16,0.87,2.1262,1.0567
2007-07-06,0.9,0.19,1.43,0.134176,0.008501,0.1,0.82,0.1805,0.16,0.86,2.1097,1.049
2007-07-07,0.9,0.19,1.43,0.134176,0.008501,0.1,0.82,0.1805,0.16,0.86,2.1097,1.049
2007-07-08,0.9,0.19,1.43,0.134176,0.008501,0.1,0.82,0.1805,0.16,0.86,2.1097,1.049
2007-07-09,0.9,0.19,1.43,0.134283,0.008506,0.1,0.82,0.1803,0.16,0.86,2.1149,1.0496
2007-07-10,0.91,0.19,1.44,0.134516,0.008621,0.1,0.82,0.1812,0.16,0.87,2.1318,1.0515
2007-07-11,0.91,0.19,1.45,0.134814,0.008622,0.1,0.82,0.1826,0.16,0.87,2.1428,1.0538
2007-07-12,0.9,0.19,1.44,0.133759,0.008536,0.1,0.82,0.1822,0.16,0.87,2.1219,1.0455
2007-07-13,0.91,0.19,1.45,0.134069,0.008594,0.1,0.82,0.1827,0.16,0.87,2.1328,1.0485
